Quantity,Card Name,Set Name,Foil/Variant,Card Number
1,0,Arcane Signet,CLB,Commander Legends: Battle for Baldur's Gate
1,0,"Baba Lysaga, Night Witch",CLB,Commander Legends: Battle for Baldur's Gate
2,0,"Baba Lysaga, Night Witch",CLB,Commander Legends: Battle for Baldur's Gate
1,0,Black Dragon Gate,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Citadel Gate,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Deadly Dispute,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Decanter of Endless Water,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Eldritch Pact,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Fraying Line,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Heap Gate,CLB,Commander Legends: Battle for Baldur's Gate
2,0,"Lae'zel, Vlaakith's Champion",CLB,Commander Legends: Battle for Baldur's Gate
1,0,Lae'zel's Acrobatics,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Lightning Bolt,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Nine-Fingers Keene,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Popular Entertainer,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Raised by Giants,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Reflecting Pool,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Sailors' Bane,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Swiftfoot Boots,CLB,Commander Legends: Battle for Baldur's Gate
1,0,Wand of Wonder,CLB,Commander Legends: Battle for Baldur's Gate
1,0,"Wyll, Blade of Frontiers",CLB,Commander Legends: Battle for Baldur's Gate
1,0,"Zevlor, Elturel Exile",CLB,Commander Legends: Battle for Baldur's Gate
1,0,Flotsam // Jetsam,MKM,Murders at Karlov Manor
1,0,Hustle // Bustle,MKM,Murders at Karlov Manor
1,0,"Kellan, Inquisitive Prodigy // Tail the Suspect",MKM,Murders at Karlov Manor
1,0,Undercover Crocodelf,MKM,Murders at Karlov Manor
1,0,Wispdrinker Vampire,MKM,Murders at Karlov Manor
