"sep=,"
Folder Name,Quantity,Trade Quantity,Card Name,Set Code,Set Name,Card Number,Condition,Printing,Language,Price Bought,Date Bought,AVG,LOW,TREND
CLB Bundle 01.10.22,1,0,Arcane Signet,CLB,"Commander Legends: Battle for Baldur's Gate",298,NearMint,Normal,English,2.00,2022-10-01,0.42,0.10,0.46
CLB Bundle 01.10.22,1,0,"Baba Lysaga, Night Witch",CLB,"Commander Legends: Battle for Baldur's Gate",525,NearMint,Etched Foil,English,2.01,2022-10-01,0.23,0.07,0.14
CLB Bundle 01.10.22,2,0,"Baba Lysaga, Night Witch",CLB,"Commander Legends: Battle for Baldur's Gate",266,NearMint,Normal,English,2.00,2022-10-01,0.05,0.02,0.15
CLB Bundle 01.10.22,1,0,Black Dragon Gate,CLB,"Commander Legends: Battle for Baldur's Gate",347,NearMint,Normal,English,2.00,2022-10-01,0.18,0.05,0.38
CLB Bundle 01.10.22,1,0,Citadel Gate,CLB,"Commander Legends: Battle for Baldur's Gate",349,NearMint,Normal,English,2.00,2022-10-01,0.72,0.19,0.93
CLB Bundle 01.10.22,1,0,Deadly Dispute,CLB,"Commander Legends: Battle for Baldur's Gate",124,NearMint,Normal,English,2.00,2022-10-01,3.10,1.25,2.77
CLB Bundle 01.10.22,1,0,Decanter of Endless Water,CLB,"Commander Legends: Battle for Baldur's Gate",444,NearMint,Normal,English,2.00,2022-10-01,0.71,0.02,0.62
CLB Bundle 01.10.22,1,0,Eldritch Pact,CLB,"Commander Legends: Battle for Baldur's Gate",126,NearMint,Normal,English,2.01,2022-10-01,0.13,0.04,0.31
CLB Bundle 01.10.22,1,0,Fraying Line,CLB,"Commander Legends: Battle for Baldur's Gate",314,NearMint,Normal,English,2.00,2022-10-01,0.06,0.02,0.15
CLB Bundle 01.10.22,1,0,Heap Gate,CLB,"Commander Legends: Battle for Baldur's Gate",354,NearMint,Normal,English,2.01,2022-10-01,0.14,0.02,0.22
CLB Bundle 01.10.22,2,0,"Lae'zel, Vlaakith's Champion",CLB,"Commander Legends: Battle for Baldur's Gate",29,NearMint,Normal,English,2.01,2022-10-01,2.10,0.55,1.79
CLB Bundle 01.10.22,1,0,"Lae'zel's Acrobatics",CLB,"Commander Legends: Battle for Baldur's Gate",30,NearMint,Normal,English,2.00,2022-10-01,0.56,0.10,0.57
CLB Bundle 01.10.22,1,0,Lightning Bolt,CLB,"Commander Legends: Battle for Baldur's Gate",187,NearMint,Normal,English,2.00,2022-10-01,1.32,0.50,1.20
CLB Bundle 01.10.22,1,0,Nine-Fingers Keene,CLB,"Commander Legends: Battle for Baldur's Gate",289,NearMint,Foil,English,2.00,2022-10-01,0.30,0.05,0.21
CLB Bundle 01.10.22,1,0,Popular Entertainer,CLB,"Commander Legends: Battle for Baldur's Gate",192,NearMint,Normal,English,2.01,2022-10-01,0.05,0.02,0.13
CLB Bundle 01.10.22,1,0,Raised by Giants,CLB,"Commander Legends: Battle for Baldur's Gate",250,NearMint,Foil,English,2.00,2022-10-01,0.90,0.05,0.43
CLB Bundle 01.10.22,1,0,Reflecting Pool,CLB,"Commander Legends: Battle for Baldur's Gate",358,NearMint,Normal,English,2.00,2022-10-01,8.32,6.35,7.83
CLB Bundle 01.10.22,1,0,"Sailors' Bane",CLB,"Commander Legends: Battle for Baldur's Gate",93,NearMint,Normal,English,2.01,2022-10-01,0.74,0.02,0.32
CLB Bundle 01.10.22,1,0,Swiftfoot Boots,CLB,"Commander Legends: Battle for Baldur's Gate",339,NearMint,Foil,English,2.00,2022-10-01,1.00,0.80,1.46
CLB Bundle 01.10.22,1,0,Wand of Wonder,CLB,"Commander Legends: Battle for Baldur's Gate",935,NearMint,Foil,English,2.00,2022-10-01,0.25,0.05,0.75
CLB Bundle 01.10.22,1,0,"Wyll, Blade of Frontiers",CLB,"Commander Legends: Battle for Baldur's Gate",208,NearMint,Normal,English,2.00,2022-10-01,0.27,0.02,0.24
CLB Bundle 01.10.22,1,0,"Zevlor, Elturel Exile",CLB,"Commander Legends: Battle for Baldur's Gate",296,NearMint,Foil,English,2.00,2022-10-01,0.10,0.10,0.26
